exp_index,definition,prompt_tag,final_label,source_exp_dir,wrong_kernel,gemini_kernel,qwen_kernel,qwen_vs_gemini_line_ratio,wrong_vs_gemini_line_ratio,wrong_vs_qwen_line_ratio,qwen_lines,gemini_lines,wrong_lines,qwen_bytes,gemini_bytes,wrong_bytes,qwen_has_cutensor_map,qwen_has_tma,qwen_has_mbarrier,qwen_has_wgmma,qwen_has_setmaxnreg,qwen_has_cuda_func_attr,qwen_has_atomic_float,qwen_has_float_atomicmax_call,qwen_has_cluster_tma,qwen_has_cta_tma,gemini_has_cutensor_map,gemini_has_tma,gemini_has_mbarrier,gemini_has_wgmma,gemini_has_setmaxnreg,gemini_has_cuda_func_attr,gemini_has_atomic_float,gemini_has_float_atomicmax_call,gemini_has_cluster_tma,gemini_has_cta_tma,reasoning_categories,reasoning_chars,assistant_code_chars
0,mha_with_lse_d128,hopper-no-hint,timeout,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_000/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_000/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_000/kernel.cu,0.2275,0.3786,0.3769,310,402,401,15100,15339,15958,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,126652,65296
1,mha_with_lse_d128,hopper-no-hint,runtime_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_000/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_002/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_001/kernel.cu,0.4127,0.4522,0.5937,356,463,311,14484,20278,11905,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,106761,73542
2,mha_with_lse_d128,hopper-no-hint,numerical_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_001/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_005/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_002/kernel.cu,0.4873,0.4222,0.6754,349,398,341,14130,16331,12909,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,121030,69604
3,mha_with_lse_d128,hopper-no-hint,compile_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_001/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_005/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_003/kernel.cu,0.4054,0.4292,0.5971,349,386,341,14279,15767,12909,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,115047,71166
4,mha_with_lse_d128,hopper-no-hint,timeout,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_001/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_005/kernel_v2.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_004/kernel.cu,0.4346,0.3815,0.5731,350,414,341,14738,17274,12909,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,82948,73266
5,mha_with_lse_d128,hopper-no-hint,numerical_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_001/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_006/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_005/kernel.cu,0.5417,0.611,0.64,364,463,411,14797,18989,15940,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,126731,72832
6,mha_with_lse_d128,hopper-no-hint,numerical_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_002/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_008/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_006/kernel.cu,0.1776,0.1906,0.2052,293,394,204,12093,15012,7731,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,120102,63597
7,mha_with_lse_d128,hopper-no-hint,compile_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_002/kernel_t3.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_009/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_007/kernel.cu,0.4516,0.5026,0.5586,392,383,385,16377,16527,16832,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,119031,75411
8,mha_with_lse_d128,hopper-no-hint,timeout,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_002/kernel_t3.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_009/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_008/kernel.cu,0.3171,0.4241,0.5723,307,412,385,11588,17606,16832,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,92489,75853
9,mha_with_lse_d128,hopper-no-hint,timeout,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_009/kernel.cu,0.4987,0.4791,0.5237,373,377,387,14660,15382,15008,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,120582,66452
