definition,workload,trajectory_id,turn,baseline_correctness,sft_correctness,baseline_correct,sft_correct,correct_delta,baseline_exp_dir,sft_exp_dir,baseline_prompt_tokens,sft_prompt_tokens,delta_prompt_tokens,baseline_completion_tokens,sft_completion_tokens,delta_completion_tokens,baseline_reasoning_tokens,sft_reasoning_tokens,delta_reasoning_tokens,baseline_reasoning_fraction,sft_reasoning_fraction,delta_reasoning_fraction,baseline_content_chars,sft_content_chars,delta_content_chars,baseline_pre_code_chars,sft_pre_code_chars,delta_pre_code_chars,baseline_code_chars,sft_code_chars,delta_code_chars,baseline_provider_visible_chars,sft_provider_visible_chars,delta_provider_visible_chars,baseline_feedback_chars,sft_feedback_chars,delta_feedback_chars
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_000,0,Runtime error,Correct,0,1,1,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,25741.0,23839.0,-1902.0,50998.0,20863.0,-30135.0,,17078.0,,,0.818578344437521,,12065.0,9844.0,-2221.0,280.0,2.0,-278.0,11775.0,9832.0,-1943.0,12065.0,9844.0,-2221.0,2119.0,675.0,-1444.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_000,1,Runtime error,Kernel Execution Timeout,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,31214.0,27900.0,-3314.0,8248.0,29149.0,20901.0,,24683.0,,,0.8467871968163574,,13073.0,11728.0,-1345.0,304.0,2.0,-302.0,12759.0,11716.0,-1043.0,13073.0,11728.0,-1345.0,2123.0,678.0,-1445.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_000,2,Compilation error,Kernel Execution Timeout,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,36986.0,32612.0,-4374.0,11264.0,13626.0,2362.0,,9139.0,,,0.6707030676647585,,12731.0,11941.0,-790.0,227.0,2.0,-225.0,12494.0,11929.0,-565.0,12731.0,11941.0,-790.0,350.0,678.0,328.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_000,3,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,42106.0,37344.0,-4762.0,7613.0,34460.0,26847.0,,29544.0,,,0.857341845618108,,12869.0,12538.0,-331.0,150.0,2.0,-148.0,12709.0,12526.0,-183.0,12869.0,12538.0,-331.0,759.0,790.0,31.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_000,4,Compilation error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,47510.0,42543.0,-4967.0,10660.0,18091.0,7431.0,,14097.0,,,0.7792272400641203,,13247.0,10545.0,-2702.0,296.0,2.0,-294.0,12941.0,10533.0,-2408.0,13247.0,10545.0,-2702.0,539.0,799.0,260.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_000,5,Runtime error,Correct,0,1,1,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,52891.0,46819.0,-6072.0,5177.0,17454.0,12277.0,,13604.0,,,0.7794201902142776,,12855.0,10166.0,-2689.0,76.0,2.0,-74.0,12769.0,10154.0,-2615.0,12855.0,10166.0,-2689.0,759.0,675.0,-84.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_000,6,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,58304.0,50945.0,-7359.0,6293.0,14721.0,8428.0,,10320.0,,,0.7010393315671489,,13061.0,11392.0,-1669.0,276.0,2.0,-274.0,12775.0,11380.0,-1395.0,13061.0,11392.0,-1669.0,759.0,813.0,54.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_000,7,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,63783.0,55634.0,-8149.0,9137.0,15161.0,6024.0,,10873.0,,,0.7171690521733395,,13480.0,11411.0,-2069.0,363.0,2.0,-361.0,13107.0,11399.0,-1708.0,13480.0,11411.0,-2069.0,1281.0,762.0,-519.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_001,0,Compilation error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,25741.0,23839.0,-1902.0,40395.0,58249.0,17854.0,,53137.0,,,0.9122388367182269,,14761.0,13375.0,-1386.0,334.0,2.0,-332.0,14417.0,13363.0,-1054.0,14761.0,13375.0,-1386.0,3271.0,3432.0,161.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_001,1,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,32330.0,30275.0,-2055.0,5697.0,23397.0,17700.0,,19084.0,,,0.8156601273667564,,14621.0,11411.0,-3210.0,182.0,2.0,-180.0,14429.0,11399.0,-3030.0,14621.0,11411.0,-3210.0,2012.0,1077.0,-935.0
